name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Per Result"
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/10000/0/0",107588,6508.07,6505.17,ns,,1.53724e+09,,,,6.50517e-10
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/100000/0/0",10530,68380.6,68358.7,ns,,1.46287e+09,,,,6.83587e-10
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/1000000/0/0",511,1.3457e+06,1.34529e+06,ns,,7.43336e+08,,,,1.34529e-09
"CoordinatesBench<double>/CalcBondsOrthoOutBoxDouble/10000000/0/0",35,1.70099e+07,1.70038e+07,ns,,5.88105e+08,,,,1.70038e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/10/0/0",9706030,65.2546,65.2344,ns,,1.53293e+08,,,,6.52344e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/100/0/0",2378461,294.283,294.19,ns,,3.39917e+08,,,,2.9419e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/1000/0/0",263540,2671.43,2670.6,ns,,3.74448e+08,,,,2.6706e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/10000/0/0",26912,26089.2,26080.9,ns,,3.83422e+08,,,,2.60809e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/100000/0/0",2670,262422,262342,ns,,3.81182e+08,,,,2.62342e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/1000000/0/0",266,2.62688e+06,2.62603e+06,ns,,3.80803e+08,,,,2.62603e-09
"CoordinatesBench<float>/CalcBondsTriclinicInBoxFloat/10000000/0/0",25,2.69568e+07,2.69485e+07,ns,,3.71079e+08,,,,2.69485e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/10/0/0",8264054,84.9691,84.9227,ns,,1.17754e+08,,,,8.49227e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/100/0/0",1284895,533.037,532.703,ns,,1.87722e+08,,,,5.32703e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/1000/0/0",135699,5130.47,5127.37,ns,,1.95032e+08,,,,5.12737e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/10000/0/0",13713,51072.8,51056.6,ns,,1.95861e+08,,,,5.10566e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/100000/0/0",1354,513350,513189,ns,,1.9486e+08,,,,5.13189e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/1000000/0/0",129,5.16804e+06,5.16631e+06,ns,,1.93562e+08,,,,5.16631e-09
"CoordinatesBench<double>/CalcBondsTriclinicInBoxDouble/10000000/0/0",13,5.36481e+07,5.36301e+07,ns,,1.86462e+08,,,,5.36301e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/10/0/0",10723194,64.989,64.9541,ns,,1.53955e+08,,,,6.49541e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/100/0/0",2386498,293.453,293.308,ns,,3.40939e+08,,,,2.93308e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/1000/0/0",263670,2655.9,2654.61,ns,,3.76703e+08,,,,2.65461e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/10000/0/0",26892,26039.5,26026.8,ns,,3.8422e+08,,,,2.60268e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/100000/0/0",2660,263637,263507,ns,,3.79496e+08,,,,2.63507e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/1000000/0/0",266,2.63116e+06,2.62972e+06,ns,,3.80269e+08,,,,2.62972e-09
"CoordinatesBench<float>/CalcBondsTriclinicOutBoxFloat/10000000/0/0",25,2.70065e+07,2.6998e+07,ns,,3.70397e+08,,,,2.6998e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/10/0/0",8191094,85.0275,84.9973,ns,,1.17651e+08,,,,8.49973e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/100/0/0",1311827,545.563,545.327,ns,,1.83376e+08,,,,5.45327e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/1000/0/0",136411,5130.84,5129.32,ns,,1.94958e+08,,,,5.12932e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/10000/0/0",13793,50848,50824.9,ns,,1.96754e+08,,,,5.08249e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/100000/0/0",1349,514671,514516,ns,,1.94357e+08,,,,5.14516e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/1000000/0/0",129,5.17133e+06,5.16983e+06,ns,,1.9343e+08,,,,5.16983e-09
"CoordinatesBench<double>/CalcBondsTriclinicOutBoxDouble/10000000/0/0",13,5.42423e+07,5.42254e+07,ns,,1.84415e+08,,,,5.42254e-09
"CoordinatesBench<float>/CalcBondsMDAFloat/10/0/0",71633091,9.78953,9.7843,ns,,1.02205e+09,,,,9.7843e-10
"CoordinatesBench<float>/CalcBondsMDAFloat/100/0/0",7028574,99.5136,99.4847,ns,,1.00518e+09,,,,9.94847e-10
"CoordinatesBench<float>/CalcBondsMDAFloat/1000/0/0",713264,978.646,978.351,ns,,1.02213e+09,,,,9.78351e-10
"CoordinatesBench<float>/CalcBondsMDAFloat/10000/0/0",70659,9850.21,9845.43,ns,,1.0157e+09,,,,9.84543e-10
"CoordinatesBench<float>/CalcBondsMDAFloat/100000/0/0",7098,98691,98659.5,ns,,1.01359e+09,,,,9.86595e-10
"CoordinatesBench<float>/CalcBondsMDAFloat/1000000/0/0",683,1.03353e+06,1.03323e+06,ns,,9.67839e+08,,,,1.03323e-09
"CoordinatesBench<float>/CalcBondsMDAFloat/10000000/0/0",53,1.19585e+07,1.1955e+07,ns,,8.36472e+08,,,,1.1955e-09
"CoordinatesBench<double>/CalcBondsMDADouble/10/0/0",41386685,16.8141,16.8094,ns,,5.94907e+08,,,,1.68094e-09
"CoordinatesBench<double>/CalcBondsMDADouble/100/0/0",4158341,168.406,168.359,ns,,5.93968e+08,,,,1.68359e-09
"CoordinatesBench<double>/CalcBondsMDADouble/1000/0/0",416047,1681.87,1681.38,ns,,5.9475e+08,,,,1.68138e-09
"CoordinatesBench<double>/CalcBondsMDADouble/10000/0/0",41527,16859.7,16849.2,ns,,5.93499e+08,,,,1.68492e-09
"CoordinatesBench<double>/CalcBondsMDADouble/100000/0/0",4128,169349,169242,ns,,5.90868e+08,,,,1.69242e-09
"CoordinatesBench<double>/CalcBondsMDADouble/1000000/0/0",353,1.97892e+06,1.97834e+06,ns,,5.05474e+08,,,,1.97834e-09
"CoordinatesBench<double>/CalcBondsMDADouble/10000000/0/0",31,2.09576e+07,2.09511e+07,ns,,4.77302e+08,,,,2.09511e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/10/0/0",12157169,57.6939,57.6752,ns,,1.73385e+08,,,,5.76752e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/100/0/0",1230075,569.907,569.735,ns,,1.7552e+08,,,,5.69735e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/1000/0/0",122855,5701.4,5698.67,ns,,1.75479e+08,,,,5.69867e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/10000/0/0",12297,57058.3,57033,ns,,1.75337e+08,,,,5.7033e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/100000/0/0",1224,571516,571248,ns,,1.75055e+08,,,,5.71248e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/1000000/0/0",123,5.72129e+06,5.71929e+06,ns,,1.74847e+08,,,,5.71929e-09
"CoordinatesBench<float>/CalcBondsMDAOrthoOutBoxFloat/10000000/0/0",10,5.83248e+07,5.83052e+07,ns,,1.71511e+08,,,,5.83052e-09
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/10/0/0",9764198,71.7482,71.7243,ns,,1.39423e+08,,,,7.17243e-09
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/100/0/0",945689,746.556,746.204,ns,,1.34012e+08,,,,7.46204e-09
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/1000/0/0",93169,7533.69,7531.46,ns,,1.32776e+08,,,,7.53146e-09
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/10000/0/0",9276,75435.7,75413.9,ns,,1.32601e+08,,,,7.54139e-09
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/100000/0/0",575,1.22206e+06,1.22171e+06,ns,,8.18527e+07,,,,1.22171e-08
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/1000000/0/0",56,1.22872e+07,1.22831e+07,ns,,8.14124e+07,,,,1.22831e-08
"CoordinatesBench<double>/CalcBondsMDAOrthoOutBoxDouble/10000000/0/0",5,1.28295e+08,1.28255e+08,ns,,7.79695e+07,,,,1.28255e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/10/0/0",2938231,241.24,241.175,ns,,4.14636e+07,,,,2.41175e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/100/0/0",300166,2297.24,2296.62,ns,,4.35423e+07,,,,2.29662e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/1000/0/0",30883,22647.3,22641.1,ns,,4.41674e+07,,,,2.26411e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/10000/0/0",2647,272143,272060,ns,,3.67566e+07,,,,2.7206e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/100000/0/0",139,4.96799e+06,4.9666e+06,ns,,2.01345e+07,,,,4.9666e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/1000000/0/0",12,5.03348e+07,5.03193e+07,ns,,1.98731e+07,,,,5.03193e-08
"CoordinatesBench<float>/CalcBondsMDATriclinicOutBoxFloat/10000000/0/0",1,5.90779e+08,5.90587e+08,ns,,1.69323e+07,,,,5.90587e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/10/0/0",2900700,240.559,240.482,ns,,4.15832e+07,,,,2.40482e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/100/0/0",295723,2377.22,2376.5,ns,,4.20788e+07,,,,2.3765e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/1000/0/0",29587,23663.4,23655.7,ns,,4.22731e+07,,,,2.36557e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/10000/0/0",2777,243950,243835,ns,,4.10114e+07,,,,2.43835e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/100000/0/0",139,4.95587e+06,4.95418e+06,ns,,2.0185e+07,,,,4.95418e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/1000000/0/0",12,5.05208e+07,5.05061e+07,ns,,1.97996e+07,,,,5.05061e-08
"CoordinatesBench<double>/CalcBondsMDATriclinicOutBoxDouble/10000000/0/0",1,6.00781e+08,6.00599e+08,ns,,1.66501e+07,,,,6.00599e-08
